latitude,longitude,altitude,geometry,OBJECTID,name,region,city,stars,link,description
50.2801303721,6.1261839944,,Point,61,Hotel zur Post,WAL,Sankt Vith,1,https://www.hotelzurpost.be/,
50.2175012021,4.2434415187,,Point,62,Hostellerie Le Prieuré Saint Géry,WAL,Solre-Saint-Géry (Beaumont),1,https://prieurestgery.be/restaurant/,
50.3607277869,3.8872618765,,Point,63,Les Gourmands,WAL,Blaregnies (Quévy),1,http://www.les-gourmands.be/,
50.4831723164,3.8385741266,,Point,64,D'Eugénie à Emilie,WAL,Baudour (Saint-Ghislain),2,https://fernez.com/deugenie-a-emilie/,
49.5071414243,5.4752378511,,Point,65,Auberge de la Grappe d'Or,WAL,Torgny,1,https://www.lagrappedor.com/fr/restaurant,
50.7297074011,3.6736475372,,Point,66,Château du Mylord,WAL,Ellezelles,2,https://mylord.be/en/,
49.6098425337,6.1332199828,,Point,67,Clairefontaine,LUX,Luxembourg,1,http://www.restaurantclairefontaine.lu/,
49.702568059,6.2173174516,,Point,68,La Distellerie,LUX,Bourglinster (Junglinster),1,http://www.bourglinster.lu/restaurants/restaurant-la-distillerie,
50.5249339304,3.5743792092,,Point,69,L'impératif,WAL,Roucourt (Péruwelz),1,https://www.domainedarondeau.com/limperatif/,
50.5160589537,4.2619660695,,Point,70,Au gré du vent,WAL,Seneffe,1,http://www.resto-augreduvent.be/,
50.4373324985,6.1411946019,,Point,71,La menuiserie,WAL,Champagne (Waimes),1,https://www.lamenuiserie.eu/fr/,
50.5625178815,4.684445531,,Point,72,Chai Gourmand,WAL,Gembloux,1,http://www.chaigourmand.be/,
48.6929837994,6.1812296,,Point,73,Transparence La table de Patrick Fréchin,LOR,Nancy,1,http://restaurant-transparence.fr/,
49.1948579978,7.6208199997,,Point,74,Die Brasserie,RLP,Pirmasens,1,http://www.diebrasserie-ps.de/,
49.4913099952,8.175093999,,Point,75,Intense,RLP,Kallstadt,1,https://www.restaurant-inten.se/,
49.5378379952,8.180730999,,Point,76,Schwarz Gourmet,RLP,Kirchheim,1,http://schwarz-restaurant.de/,
50.2107208588,6.8823794698,,Point,77,Kucher's Gourmet,RLP,Darscheid,1,https://www.kucherslandhotel.de/de/restaurant-daun-eifel.html,
50.3579999978,7.5994389997,,Point,78,Da Vinci,RLP,Koblenz,1,https://www.davinci-koblenz.de/,
50.3692099979,7.5813029997,,Point,79,Schiller`s Restaurant,RLP,Koblenz,1,https://www.hotel-stein.de/schillers-restaurant/,
50.4389381281,7.3972405205,,Point,80,PURS,RLP,Andernach,2,https://purs.com/restaurant/,
50.4382399983,7.3983309998,,Point,81,YOSO,RLP,Andernach,1,https://yoso-restaurant.de/,
49.5803949994,5.955346,,Point,82,Guillou Campagne,LUX,Schouweiler (Dippach),1,http://www.guilloucampagne.lu/,
49.5398839994,6.144703,,Point,84,Fani,LUX,Roeser,1,http://ristorantefani.lu/,
50.6821479995,4.27298,,Point,85,Bistro Racine,WAL,Braine-le-château,1,https://www.bistroracine.be/,
50.4545249995,3.95132,,Point,86,Le Comptoir de Marie,WAL,Mons,1,http://www.lecomptoirdemarie.be/,
50.6095799995,5.37097,,Point,87,Philippe Fauchet,WAL,Saint-Georges,1,http://www.philippefauchet.be/,
50.2844739994,6.122129,,Point,89,Quadras,WAL,Sankt Vith,1,http://www.restaurant-quadras.be/web/,
50.5690189995,4.179224,,Point,90,Le Pilori,WAL,Ecaussines-Lalaing,1,https://pilori.be/,
48.950262998,7.5435039997,,Point,91,L'Arnsbourg ,LOR,Baerenthal,1,https://www.arnsbourg.com/de/,
49.6149060156,6.1427697283,,Point,92,Les Jardins d'Anaïs,LUX,Luxembourg,1,https://jardinsdanais.lu/restaurant/,
49.3272787187,6.7203224689,,Point,93,Landwerk,SL,Wallerfangen,1,https://www.land-werk.de/restaurant/,
49.3171087302,6.7552258148,,Point,94,Louis Restaurant,SL,Saarlouis,1,https://lamaison-hotel.de/restaurant-bar/louis-restaurant/,
49.2349461042,6.9995848103,,Point,95,Esplanade,SL,Saarbrücken,1,https://www.esplanade-sb.de/,
50.4547647503,7.4623690924,,Point,96,Coquille St. Jacques im Parkrestaurant Nodhausen,RLP,Neuwied,1,http://s258353772.online.de/,
49.5127320035,8.1545853468,,Point,97,Admiral,RLP,Kallstadt,1,https://www.admiral-weisenheim.de/,
50.437600325,4.8642593778,,Point,98,La Plage d'Amée,WAL,Jambes Namur),1,http://laplagedamee.be/,
50.6602215461,4.4128000592,,Point,99,La Ligne Rouge,WAL,Lasne,1,http://lalignerouge.be/,
50.7230121929,4.3983642495,,Point,100,Little Paris,WAL,Waterloo,1,https://www.little-paris.be/,
